あい /アイ/
あいらいなー /アイライナー/
あいらいん /アイライン/
あいらぶ /アイラブ;I love/
あいらぶゆー /アイラブユー;I love you/
あいらんど /アイランド/
あいらー /アイラー/
あいり /アイリ/
あいりす /アイリス/
あいりっしゅ /アイリッシュ/
あいりーん /アイリーン/
あいる /アイル;通路/
あいるとん /アイルトン/
あいるらんど /アイルランド;.ie/
あいろにー /アイロニー/
あいろん /アイロン/
あいわいばんく /アイワイバンク;www.iy-bank.co.jp/
あいん /アイン/
あいんしゅたいん /アインシュタイン/
あいんすたいにうむ /アインスタイニウム;[元素]99,Es/
あい・あむ /アイ・アム/
あい・びー・えむ /アイ・ビー・エム/
あい・らぶ・ /アイ・ラブ・/
あいーしゃ /アイーシャ/
あいーだ /アイーダ/
あうぇあ /アウェア/
あうぇあねす /アウェアネス/
あうぇい /アウェイ/
あうぇいげーむ /アウェイゲーム/
あうぇいちーむ /アウェイチーム/
あうぇー /アウェー/
あうぇーげーむ /アウェーゲーム/
あうぇーちーむ /アウェーチーム/
あうぉーず /アウォーズ/
あうがるてん /アウガルテン/
あうくすぶるく /アウクスブルク/
あうぐすちぬす /アウグスチヌス/
あうぐすてぃぬす /アウグスティヌス/
あうぐすてぃん /アウグスティン/
あうぐすと /アウグスト/
あうぐすとぅす /アウグストゥス/
あうしゅう゛ぃっつ /アウシュヴィッツ/
あうしゅびっつ /アウシュビッツ/
あうす /アウス/
あうすれーぜ /アウスレーゼ/
あうたー /アウター/
あうたーうぇあ /アウターウェア/
あうたーすぺーす /アウタースペース/
あうち /アウチ/
あうでぃ /アウディ;www.audi.com/
あうと /アウト/
あうとおぶ /アウトオブ/
あうとこーす /アウトコース;和製英語(outside)/
あうとさいだー /アウトサイダー/
あうとさいど /アウトサイド/
あうとそーしんぐ /アウトソーシング/
あうとそーす /アウトソース/
あうとどあ /アウトドア/
あうとどあらいふ /アウトドアライフ/
あうとばーん /アウトバーン/
あうとびあんき /アウトビアンキ;www.autobianchi.com/
あうとふぃっと /アウトフィット/
あうとぶれいく /アウトブレイク/
あうとぷっと /アウトプット/
あうとぷれーすめんと /アウトプレースメント/
あうとぼくしんぐ /アウトボクシング/
あうとらいん /アウトライン/
あうとらいんふぉんと /アウトラインフォント/
あうとるっく /アウトルック/
あうとれっと /アウトレット/
あうとれーん /アウトレーン/
あうとろー /アウトロー;[野球]和製英語(outside low)/
あうと・おぶ・ /アウト・オブ・/
あうふ /アウフ/
あうふたくと /アウフタクト/
あうふへーべん /アウフヘーベン/
あうら /アウラ/
あうれりうす /アウレリウス/
あうろら /アウロラ/
あうろーら /アウローラ/
あう゛ぁん /アヴァン/
あう゛ぁんぎゃるど /アヴァンギャルド/
あう゛ぁんてぃ /アヴァンティ/
あう゛ぃにょん /アヴィニョン/
あう゛ぇ /アヴェ/
あう゛ぇいらぶる /アヴェイラブル/
あう゛ぇにゅー /アヴェニュー/
あう゛ぇまりあ /アヴェマリア;Ave Maria/
あう゛ぉがどろ /アヴォガドロ/
あう゛ぉんりー /アヴォンリー/
あう゛りる /アヴリル;(Fr) 4月/
あえら /アエラ;[雑誌名]朝日新聞社/
あえろふろーと /アエロフロート;www.aeroflot.ru/
あおざい /アオザイ;ao dai/
あおりすと /アオリスト/
あかうんたびりてぃ /アカウンタビリティ;(言い換え:説明責任)/
あかうんたびりてぃー /アカウンタビリティー/
あかうんてぃんぐ /アカウンティング/
あかうんと /アカウント/
あかしあ /アカシア/
あかしっく /アカシック/
あかでみあ /アカデミア/
あかでみずむ /アカデミズム/
あかでみっく /アカデミック/
あかでみー /アカデミー/
あかでめいあ /アカデメイア/
あかば /アカバ;ヨルダン/
あかぷるこ /アカプルコ/
あかぺら /アカペラ;a cappella/
あかんたびりてぃ /アカンタビリティ/
あがさ /アガサ/
あがた /アガタ/
あがっと /アガット/
あがぺー /アガペー/
あがめむのん /アガメムノン/
あがりくす /アガリクス;ハラタケ属/
あがるた /アガルタ/
あがろーす /アガロース/
あがんべん /アガンベン/
あがーて /アガーテ/
あがーと /アガート/
あき /アキ/
あきてーぬ /アキテーヌ/
あきゅむれーた /アキュムレータ/
あきゅらしー /アキュラシー/
あきゅーと /アキュート/
あきれうす /アキレウス/
あきれす /アキレス/
あきーむ /アキーム/
あぎれら /アギレラ/
あぎーれ /アギーレ/
あく /アク/
あくあ /アクア/
あくあさいず /アクアサイズ/
あくあちんと /アクアチント/
あくあてぃっく /アクアティック/
あくあのーと /アクアノート/
あくあぱっつぁ /アクアパッツァ;(It) acqua pazza/
あくあぱっつあ /アクアパッツア/
あくあふれっしゅ /アクアフレッシュ;[商標]/
あくあぶるー /アクアブルー/
あくあぽりす /アクアポリス/
あくあまりん /アクアマリン/
あくあらんぐ /アクアラング/
あくありうむ /アクアリウム/
あくぃなす /アクィナス/
あくえりあす /アクエリアス;水瓶座/
あくさん /アクサン;仏語/
あくさんぐらーう゛ /アクサングラーヴ/
あくさんぐらーぶ /アクサングラーブ;accent grave/
あくさんしるこんふれっくす /アクサンシルコンフレックス;accent circonflexe/
あくさんてぎゅ /アクサンテギュ;accent aigue/
あくしおむ /アクシオム/
あくしす /アクシス/
あくしでんたり /アクシデンタリ/
あくしでんたる /アクシデンタル/
あくしでんと /アクシデント/
あくしょん /アクション/
あくしょんげーむ /アクションゲーム/
あくしょんしーん /アクションシーン/
あくしょんぷろぐらむ /アクションプログラム/
あくす /アクス/
あくせさ /アクセサ/
あくせさり /アクセサリ/
あくせさりー /アクセサリー/
あくせしびりてぃ /アクセシビリティ/
あくせしびりてぃー /アクセシビリティー/
あくせす /アクセス/
あくせすかうんた /アクセスカウンタ/
あくせすかうんたー /アクセスカウンター/
あくせすたいむ /アクセスタイム/
あくせすぽいんと /アクセスポイント/
あくせすろぐ /アクセスログ/
あくせっさ /アクセッサ/
あくせっさー /アクセッサー/
あくせぷた /アクセプタ/
あくせぷたぶる /アクセプタブル/
あくせぷたー /アクセプター/
あくせぷと /アクセプト/
あくせられーた /アクセラレータ/
あくせられーたー /アクセラレーター/
あくせる /アクセル;accelerator/
あくせるろっど /アクセルロッド/
あくせんと /アクセント;その音を特に強く/
あくた /アクタ/
あくたー /アクター/
あくちにうむ /アクチニウム;[元素]89,Ac/
あくちのいど /アクチノイド/
あくちゅありてぃ /アクチュアリティ/
あくちゅありー /アクチュアリー;保険数理士/
あくちゅある /アクチュアル/
あくちゅあるたいむ /アクチュアルタイム/
あくちゅえーた /アクチュエータ/
あくちゅえーたー /アクチュエーター/
あくちん /アクチン/
あくてぃう゛ /アクティヴ/
あくてぃびすと /アクティビスト/
あくてぃびてぃ /アクティビティ/
あくてぃびてぃー /アクティビティー/
あくてぃぶ /アクティブ/
あくてぃぶうぃんどう /アクティブウィンドウ/
あくてぃぶのいずこんとろーる /アクティブノイズコントロール;active noise control/
あくてぃべーしょん /アクティベーション/
あくてぃべーた /アクティベータ/
あくてぃべーたー /アクティベーター/
あくてぃべーと /アクティベート/
あくと /アクト/
あくとれす /アクトレス/
あくね /アクネ/
あくばる /アクバル/
あくめ /アクメ/
あくら /アクラ/
あくりる /アクリル/
あくりろにとりる /アクリロニトリル/
あくろ /アクロ/
あくろす /アクロス/
あくろにむ /アクロニム/
あくろばっと /アクロバット/
あくろばっとりーだー /アクロバットリーダー/
あくろばてぃっく /アクロバティック/
あくろぽりす /アクロポリス/
あくろれいん /アクロレイン/
あぐすてぃん /アグスティン/
あぐに /アグニ/
あぐねす /アグネス/
あぐら /アグラ/
あぐり /アグリ/
あぐりかるちゃー /アグリカルチャー/
あぐりげーた /アグリゲータ/
あぐりげーと /アグリゲート/
あぐりびじねす /アグリビジネス/
あぐりー /アグリー/
あぐりーめんと /アグリーメント/
あぐれっしう゛ /アグレッシヴ/
あぐれっしぶ /アグレッシブ/
あけめねす /アケメネス/
あげいん /アゲイン/
あげいんすと /アゲインスト/
あげんすと /アゲンスト/
あげーと /アゲート/
あげーん /アゲーン/
あこすた /アコスタ/
あこにちん /アコニチン/
あこむ /アコム;[企業名]消費者金融。www.acom.co.jp/
あこもでーしょん /アコモデーション/
あこんかぐあ /アコンカグア;-川(チリ)/
あこーすてぃっく /アコースティック/
あこーすてぃっくぎたー /アコースティックギター/
あこーすてぃっくす /アコースティックス/
あこーでぃおん /アコーディオン/
あこーど /アコード/
あごご /アゴゴ/
あごら /アゴラ/
あさ /アサ/
あさいど /アサイド/
あさいらむ /アサイラム/
あさいん /アサイン/
あさいんめんと /アサインメント/
あさしん /アサシン/
あさど /アサド/
あさひびーる /アサヒビール/
あさると /アサルト/
あさーと /アサート/
あざ /アザ/
あざれあ /アザレア/
あざん /アザン/
あざー /アザー/
あざーん /アザーン/
あしあな /アシアナ;www.asiana.co.kr/
あしぇっと /アシェット/
あしがばーど /アシガバード/
あしくろびる /アシクロビル/
あしすたんす /アシスタンス/
あしすたんと /アシスタント/
あしすと /アシスト/
あしっど /アシッド/
あしっどじゃず /アシッドジャズ/
あしも /アシモ;[商標]ホンダ/
あしもふ /アシモフ/
あしゅあらんす /アシュアランス/
あしゅけなーじ /アシュケナージ/
あしゅらむ /アシュラム/
あしゅりー /アシュリー/
あしゅれい /アシュレイ/
あしょか /アショカ/
あしょーか /アショーカ/
あしる /アシル/
あしんめとりー /アシンメトリー/
あじ /アジ/
あじあ /アジア/
あじあかっぷ /アジアカップ/
あじあん /アジアン/
あじぇんだ /アジェンダ/
あじすあべば /アジスアベバ;Addis Ababa/
あじたーと /アジタート/
あじてーしょん /アジテーション/
あじと /アジト/
あじど /アジド/
あじもふ /アジモフ/
あじゃいる /アジャイル/
あじゃすた /アジャスタ/
あじゃすたぶる /アジャスタブル/
あじゃすたー /アジャスター/
あじゃすと /アジャスト/
あじゃすとめんと /アジャストメント/
あじゃんた /アジャンタ/
あじゃんたー /アジャンター/
あじゃーに /アジャーニ/
あじゅーる /アジュール/
あじりてぃ /アジリティ/
あじりてぃー /アジリティー/
あじん /アジン/
あじーる /アジール;(独語)/
あす /アス/
あすがるど /アスガルド/
あすきー /アスキー/
あすきーあーと /アスキーアート/
あすきーこーど /アスキーコード/
あすく /アスク/
あすくれぴおす /アスクレピオス/
あすこっと /アスコット;[商標]ホンダ/
あすこっとたい /アスコットタイ/
あすた /アスタ/
あすたちん /アスタチン;[元素]85,At/
あすたりすく /アスタリスク/
あすたー /アスター/
あすてぃ /アスティ/
あすてか /アステカ/
あすてっく /アステック/
あすてむ /アステム/
あすてろいど /アステロイド/
あすとら /アストラ/
あすとらっど /アストラッド/
あすとらはん /アストラハン/
あすとらる /アストラル/
あすとる /アストル/
あすとろ /アストロ/
あすとろすこーぷ /アストロスコープ/
あすとろず /アストロズ;[MLB]/
あすとろろじー /アストロロジー/
あすとん /アストン/
あすなーる /アスナール/
あすぱら /アスパラ;asparagus/
あすぱらがす /アスパラガス/
あすぱらぎん /アスパラギン;Asn/
あすぱるてーむ /アスパルテーム/
あすぴりん /アスピリン;C9H8O4/
あすぴーて /アスピーテ/
あすふぁると /アスファルト/
あすべすと /アスベスト/
あすぺくと /アスペクト/
あすぺるがー /アスペルガー/
あすまら /アスマラ/
あすも /アスモ/
あすりーと /アスリート/
あすれちっく /アスレチック/
あすれちっくくらぶ /アスレチッククラブ/
あすれちっくす /アスレチックス/
あすれてぃっく /アスレティック/
あすれてぃっくくらぶ /アスレティッククラブ/
あすろん /アスロン/
あすわん /アスワン/
あすんしおん /アスンシオン/
あず /アズ/
あずれん /アズレン;C10H8/
あずーる /アズール/
あせす /アセス/
あせすめんと /アセスメント/
あせたーる /アセタール/
あせちる /アセチル;CH3CO-/
あせちるこりん /アセチルコリン/
あせちれん /アセチレン/
あせっと /アセット/
あせてーと /アセテート/
あせと /アセト/
あせとあみど /アセトアミド/
あせとあみのふぇん /アセトアミノフェン;C8H9NO2/
あせとあるでひど /アセトアルデヒド/
あせとにとりる /アセトニトリル/
あせとん /アセトン;CH3COCH3/
あせろら /アセロラ/
あせんしょん /アセンション/
あせんず /アセンズ/
あせんぶら /アセンブラ/
あせんぶり /アセンブリ/
あせんぶる /アセンブル/
あぜりあ /アゼリア/
あぜる /アゼル/
あぜるばいじゃん /アゼルバイジャン;.az/
あそしあてぃぶ /アソシアティブ/
あそしえいつ /アソシエイツ/
あそしえいてぃぶ /アソシエイティブ/
あそしえいと /アソシエイト/
あそしえーしょん /アソシエーション/
あそっく /アソック/
あそーと /アソート/
あたかま /アタカマ/
あたっかー /アタッカー/
あたっきんぐ /アタッキング/
あたっく /アタック/
あたっしゅ /アタッシュ/
あたっしゅけーす /アタッシュケース;attache case/
あたっち /アタッチ/
あたっちめんと /アタッチメント/
あたり /アタリ/
あだ /アダ/
あだぷた /アダプタ/
あだぷたー /アダプター/
あだぷてぃう゛ /アダプティヴ/
あだぷてぃぶ /アダプティブ/
あだぷてーしょん /アダプテーション/
あだぷと /アダプト/
あだまーる /アダマール/
あだむ /アダム/
あだむす /アダムス/
あだると /アダルト/
あだるとぐっず /アダルトグッズ/
あだるとさいと /アダルトサイト/
あだるとしょっぷ /アダルトショップ/
あだるとびでお /アダルトビデオ/
あだれい /アダレイ/
あだん /アダン/
あだーじょ /アダージョ/
あちぇれらんど /アチェレランド/
あちーぶめんと /アチーブメント/
あっか /アッカ;www.acca.ne.jp/
あっかど /アッカド/
あっかーまん /アッカーマン/
あっくす /アックス/
あっさい /アッサイ/
あっさむ /アッサム/
あっさらーむ /アッサラーム;(アラビア語)/
あっしじ /アッシジ/
あっしゃー /アッシャー/
あっしゅ /アッシュ/
あっしゅとれい /アッシュトレイ/
あっしりあ /アッシリア/
あっちぇれらんど /アッチェレランド;[音楽]次第に速く/
あっつ /アッツ/
あってぃか /アッティカ/
あってぃら /アッティラ/
あってねーた /アッテネータ/
あってねーたー /アッテネーター/
あっと /アット/
あっとほーむ /アットホーム/
あっとまーく /アットマーク;@/
あっど /アッド/
あっばす /アッバス/
あっばーす /アッバース/
あっぱー /アッパー/
あっぱーかっと /アッパーカット/
あっぱーみどる /アッパーミドル/
あっぴあ /アッピア/
あっぷ /アップ/
あっぷぐれーど /アップグレード/
あっぷこーる /アップコール/
あっぷさいど /アップサイド/
あっぷすとりーむ /アップストリーム/
あっぷせっと /アップセット/
あっぷたいむ /アップタイム/
あっぷたうん /アップタウン/
あっぷだいく /アップダイク/
あっぷだうん /アップダウン/
あっぷてんぽ /アップテンポ/
あっぷでいと /アップデイト/
あっぷでーた /アップデータ;[新語]/
あっぷでーと /アップデート/
あっぷびーと /アップビート/
あっぷふろんと /アップフロント/
あっぷらいと /アップライト/
あっぷらいとぴあの /アップライトピアノ/
あっぷりけ /アップリケ/
あっぷりんく /アップリンク/
あっぷる /アップル/
あっぷるこんぴゅーた /アップルコンピュータ;www.apple.com/
あっぷるしーど /アップルシード/
あっぷるとん /アップルトン/
あっぷるぱい /アップルパイ/
あっぷろーだ /アップローダ/
あっぷろーだー /アップローダー/
あっぷろーど /アップロード/
あっぷわーど /アップワード/
あっら /アッラ/
あっらー /アッラー/
あてすと /アテスト/
あてな /アテナ/
あてない /アテナイ/
あてね /アテネ/
あてろーま /アテローマ/
あてろーむ /アテローム;(独語)/
あてんしょん /アテンション/
あてんだんと /アテンダント/
あてんと /アテント/
あてんど /アテンド/
あてんぽ /アテンポ;a tempo/
あてーなー /アテーナー/
あでぃ /アディ/
あでぃおす /アディオス/
あでぃくしょん /アディクション/
あでぃくと /アディクト/
あでぃだす /アディダス;www.adidas.com/
あでにん /アデニン;A/
あでのいど /アデノイド/
あでのうぃるす /アデノウィルス/
あでのういるす /アデノウイルス/
あでのしん /アデノシン/
あでぷと /アデプト/
あでゅー /アデュー/
あでら /アデラ/
あでる /アデル/
あでれーど /アデレード/
あでん /アデン/
あでーる /アデール/
あでーれ /アデーレ/
あと /アト;[SI接頭語]a,10^-18/
あときんす /アトキンス/
あとす /アトス/
あとにー /アトニー/
あとぴー /アトピー/
あとみっく /アトミック/
あとむ /アトム/
あともすふぃあ /アトモスフィア/
あともすふぇあ /アトモスフェア/
あとらくしょん /アトラクション/
あとらくた /アトラクタ/
あとらくたー /アトラクター/
あとらくてぃぶ /アトラクティブ/
あとらくと /アトラクト/
あとらす /アトラス/
あとらんた /アトランタ/
あとらんだむ /アトランダム/
あとらんちす /アトランチス/
あとらんてぃす /アトランティス/
あとらんてぃっく /アトランティック/
あとりうむ /アトリウム/
あとりえ /アトリエ/
あとりびゅーと /アトリビュート/
あとりー /アトリー/
あとろぴん /アトロピン/
あど /アド/
あどいん /アドイン;add-in/
あどぅれせんす /アドゥレセンス/
あどうぇあ /アドウェア/
あどう゛ぁいざり /アドヴァイザリ/
あどう゛ぁいざー /アドヴァイザー/
あどう゛ぁいす /アドヴァイス/
あどう゛ぁんす /アドヴァンス/
あどう゛ぁんすと /アドヴァンスト/
あどう゛ぁんすど /アドヴァンスド/
あどおん /アドオン/
あどない /アドナイ/
あどにす /アドニス/
あどばいさり /アドバイサリ/
あどばいざ /アドバイザ/
あどばいざり /アドバイザリ/
あどばいざりー /アドバイザリー/
あどばいざー /アドバイザー/
あどばいす /アドバイス;※名詞「アドバイス」はadvice/
あどばいず /アドバイズ;[動詞]/
あどばたいじんぐ /アドバタイジング/
あどばたいず /アドバタイズ/
あどばたいずめんと /アドバタイズメント/
あどばるーん /アドバルーン;和製英語(advertising balloon)/
あどばんす /アドバンス/
あどばんすと /アドバンスト/
あどばんすど /アドバンスド/
あどばんすど・でーた・こんとろーるず /アドバンスド・データ・コントロールズ;www.adac.co.jp/
あどばんてーじ /アドバンテージ/
あどび /アドビ;www.adobe.com/
あどぷと /アドプト/
あどべんちゃー /アドベンチャー/
あどべんちゃーげーむ /アドベンチャーゲーム/
あどべんと /アドベント/
あどほっく /アドホック;ad hoc/
あどみたんす /アドミタンス/
あどみっしょん /アドミッション/
あどみにすたー /アドミニスター/
あどみにすとれーしょん /アドミニストレーション/
あどみにすとれーた /アドミニストレータ/
あどみにすとれーたー /アドミニストレーター/
あどみん /アドミン/
あどらー /アドラー/
あどりあ /アドリア/
あどりあん /アドリアン/
あどりあーな /アドリアーナ/
あどりあーの /アドリアーノ/
あどりえんぬ /アドリエンヌ;仏語/
あどりぶ /アドリブ;ad lib/
あどるの /アドルノ/
あどるふ /アドルフ/
あどるふぉ /アドルフォ/
あどれしんぐ /アドレシング/
あどれす /アドレス/
あどれすばー /アドレスバー/
あどれすぶっく /アドレスブック/
あどれっさびりてぃ /アドレッサビリティ/
あどれっしんぐ /アドレッシング/
あどれっしんぐもーど /アドレッシングモード/
あどれっせんす /アドレッセンス;青春/
あどれなりん /アドレナリン/
あどわーず /アドワーズ/
あな /アナ/
あないす /アナイス/
あなうんさー /アナウンサー/
あなうんす /アナウンス/
あなうんすめんと /アナウンスメント/
あなきすと /アナキスト/
あなきずむ /アナキズム/
あなきん /アナキン/
あなくろ /アナクロ;anachronism/
あなくろにずむ /アナクロニズム/
あなこんだ /アナコンダ/
あなざー /アナザー/
あなすたしあ /アナスタシア/
あなとりあ /アナトリア/
あなとーる /アナトール/
あななす /アナナス/
あなはいむ /アナハイム/
あなふぃらきしー /アナフィラキシー;(独語)/
あなべら /アナベラ/
あなべる /アナベル/
あなぼりっく /アナボリック/
あなぽりす /アナポリス/
あならいざ /アナライザ;※analyzer/
あならいざー /アナライザー/
あならいじんぐ /アナライジング;※analyzing/
あならいず /アナライズ/
あなりしす /アナリシス/
あなりすと /アナリスト/
あなる /アナル/
あなるこ /アナルコ/
あなるせっくす /アナルセックス/
あなるばいぶ /アナルバイブ;anal vibrator/
あなるふぁっく /アナルファック/
あなろぐ /アナログ/
あなろぐでーた /アナログデータ/
あなろぐれこーど /アナログレコード/
あなろじー /アナロジー/
あなん /アナン/
あなーきすと /アナーキスト/
あなーきずむ /アナーキズム/
あなーきー /アナーキー/
あなーる /アナール;(Fr) 年報。「-学派」/
あに /アニ/
あにえす /アニエス/
あにおん /アニオン/
あにか /アニカ/
あにさきす /アニサキス/
あにす /アニス/
あにすとん /アニストン/
あにそん /アニソン/
あにた /アニタ/
あにっく /アニック/
あにど /アニド/
あにばーさりー /アニバーサリー/
あにま /アニマ/
あにまっくす /アニマックス;www.animax.co.jp/
あにまる /アニマル/
あにまるず /アニマルズ/
あにまーと /アニマート/
あにみずむ /アニミズム/
あにむす /アニムス/
あにめ /アニメ/
あにめきゃら /アニメキャラ;animation character/
あにめそんぐ /アニメソング/
あにめちっく /アニメチック;和製英語/
あにめーしょん /アニメーション/
あにめーじゅ /アニメージュ;徳間書店/
あにめーたー /アニメーター/
あにゅある /アニュアル/
あにりど /アニリド/
あにりん /アニリン/
あにー /アニー/
あにーた /アニータ/
あにーりんぐ /アニーリング/
あぬ /アヌ/
あぬす /アヌス/
あねくどーと /アネクドート/
あねすと /アネスト/
あねっくす /アネックス/
あねって /アネッテ/
あねっと /アネット/
あねもね /アネモネ/
あねるか /アネルカ/
あねるぎー /アネルギー/
あねろびくす /アネロビクス/
あの /アノ/
あのてーしょん /アノテーション/
あのにます /アノニマス/
あのまりー /アノマリー/
あのみー /アノミー/
あのらっく /アノラック/
あのーど /アノード/
あば /アバ/
あばうと /アバウト/
あばかす /アバカス/
あばす /アバス/
あばたー /アバター/
あばたーる /アバタール/
あばど /アバド/
あばぶ /アバブ/
あばん /アバン/
あばんぎゃるど /アバンギャルド;avant-garde/
あばんちゅーる /アバンチュール/
あばんてぃ /アバンティ/
あばーる /アバール/
あぱしー /アパシー/
あぱたいと /アパタイト/
あぱっしょなーた /アパッショナータ/
あぱっしょなーと /アパッショナート/
あぱっち /アパッチ/
あぱらちあ /アパラチア/
あぱるとへいと /アパルトヘイト/
あぱるとまん /アパルトマン;仏語/
あぱれる /アパレル/
あぱれるめーかー /アパレルメーカー/
あぱーちゃ /アパーチャ/
あぱーと /アパート/
あぱーとめんと /アパートメント/
あびげいる /アビゲイル/
あびしにあ /アビシニア/
あびしにあん /アビシニアン/
あびじゃん /アビジャン/
あびす /アビス/
あびすぱ /アビスパ;[Jリーグ]福岡/
あびたしおん /アビタシオン/
あびら /アビラ/
あびりてぃ /アビリティ/
あびー /アビー/
あびーろーど /アビーロード/
あぴあ /アピア/
あぴあらんす /アピアランス/
あぴーる /アピール/
あぴーるぽいんと /アピールポイント;和製英語/
あふぃにてぃ /アフィニティ/
あふぃにてぃー /アフィニティー/
あふぃりえいたー /アフィリエイター/
あふぃりえいと /アフィリエイト/
あふぃりえいとぷろぐらむ /アフィリエイトプログラム/
あふぃりえーと /アフィリエート/
あふぃん /アフィン/
あふぇあ /アフェア/
あふぉりずむ /アフォリズム/
あふぉーだんす /アフォーダンス/
あふがにすたん /アフガニスタン;.af/
あふがん /アフガン/
あふたぬーん /アフタヌーン/
あふたー /アフター/
あふたーけあ /アフターケア/
あふたーさーびす /アフターサービス/
あふたーだーく /アフターダーク/
あふたーばーなー /アフターバーナー/
あふたーびーと /アフタービート/
あふたーふぁいぶ /アフターファイブ/
あふたーふぉろー /アフターフォロー;和製英語(follow-up)/
あふらときしん /アフラトキシン/
あふりか /アフリカ/
あふりかん /アフリカン/
あふりかーんす /アフリカーンス/
あふれこ /アフレコ;after recording/
あふろ /アフロ/
あふろでぃて /アフロディテ/
あふろでぃーて /アフロディーテ/
あふろへあ /アフロヘア/
あぶ /アブ/
あぶさろむ /アブサロム/
あぶさん /アブサン/
あぶじゃ /アブジャ/
あぶすとらくしょん /アブストラクション/
あぶすとらくと /アブストラクト/
あぶそりゅーと /アブソリュート/
あぶそーば /アブソーバ/
あぶそーばー /アブソーバー/
あぶだくしょん /アブダクション/
あぶだび /アブダビ/
あぶだら /アブダラ/
あぶどぅら /アブドゥラ/
あぶどぅる /アブドゥル/
あぶどら /アブドラ/
あぶどーら /アブドーラ/
あぶのーまる /アブノーマル/
あぶら /アブラ/
あぶらはむ /アブラハム/
あぶりる /アブリル/
あぶろーど /アブロード/
あぶー /アブー/
あぷらい /アプライ/
あぷらいあんす /アプライアンス/
あぷり /アプリ;application/
あぷりおり /アプリオリ;a priori/
あぷりけいしょん /アプリケイション/
あぷりけーしょん /アプリケーション/
あぷりけーしょんこんてきすと /アプリケーションコンテキスト/
あぷりけーしょんさーば /アプリケーションサーバ/
あぷりけーしょんそふと /アプリケーションソフト/
あぷりけーしょんもーだる /アプリケーションモーダル/
あぷりこっと /アプリコット/
あぷれ /アプレ/
あぷれっと /アプレット/
あぷろーず /アプローズ/
あぷろーち /アプローチ/
あへっど /アヘッド/
あべ /アベ/
